participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim,irrelevant_dim,color_high,feet_high,feet_discrete_slider.response,feature_dimension,feature_importance,feature_relevance
70,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
160,predict,predict,,False,color,feet,Y,C,Yes,feet,-5.0,irrelevant
51,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
155,predict,predict,,False,feet,color,Y,F,Yes,feet,-4.0,relevant
91,predict,predict,,False,feet,color,Y,F,Yes,feet,3.0,relevant
141,predict,predict,,False,feet,color,Y,C,Yes,feet,7.0,relevant
162,predict,predict,,False,color,feet,G,F,Yes,feet,-2.0,irrelevant
25,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
140,predict,predict,,False,color,feet,Y,C,Yes,feet,4.0,irrelevant
203,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
87,predict,predict,,False,feet,color,Y,F,Yes,feet,-4.0,relevant
174,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
171,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
54,predict,predict,,False,color,feet,G,C,Yes,feet,6.0,irrelevant
101,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
136,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
192,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
14,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
133,predict,predict,,False,feet,color,Y,C,Yes,feet,6.0,relevant
53,predict,predict,,False,feet,color,Y,C,Yes,feet,5.0,relevant
102,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
27,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
17,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
47,predict,predict,,False,feet,color,G,F,Yes,feet,-6.0,relevant
88,predict,predict,,False,color,feet,Y,C,Yes,feet,4.0,irrelevant
145,predict,predict,,False,feet,color,G,C,Yes,feet,-1.0,relevant
134,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
68,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
66,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
24,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
177,predict,predict,,False,feet,color,Y,C,Yes,feet,-6.0,relevant
135,predict,predict,,False,feet,color,G,F,Yes,feet,-5.0,relevant
29,predict,predict,,False,feet,color,Y,C,Yes,feet,4.0,relevant
146,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
107,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
137,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
12,predict,predict,,False,color,feet,Y,C,Yes,feet,5.0,irrelevant
65,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
11,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
143,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
184,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
219,predict,predict,,False,feet,color,Y,F,Yes,feet,5.0,relevant
175,predict,predict,,False,feet,color,G,F,Yes,feet,5.0,relevant
86,predict,predict,,False,color,feet,G,C,Yes,feet,-2.0,irrelevant
85,predict,predict,,False,feet,color,G,C,Yes,feet,6.0,relevant
129,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
218,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
76,predict,predict,,False,color,feet,Y,F,Yes,feet,-3.0,irrelevant
5,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
31,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
156,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
69,predict,predict,,False,feet,color,Y,C,Yes,feet,4.0,relevant
183,predict,predict,,False,feet,color,Y,F,Yes,feet,-6.0,relevant
108,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
198,predict,predict,,False,color,feet,G,F,Yes,feet,-4.0,irrelevant
105,predict,predict,,False,feet,color,Y,C,Yes,feet,4.0,relevant
74,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
128,predict,predict,,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
62,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
126,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
164,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
185,predict,predict,,False,feet,color,G,C,No,feet,0.0,relevant
100,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
151,predict,predict,,False,feet,color,G,F,No,feet,0.0,relevant
186,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
165,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
215,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
111,predict,predict,,False,feet,color,Y,F,Yes,feet,5.0,relevant
132,predict,predict,,False,color,feet,Y,C,Yes,feet,4.0,irrelevant
188,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
26,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
58,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
32,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
209,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
157,predict,predict,,False,feet,color,Y,C,Yes,feet,4.0,relevant
7,predict,predict,,False,feet,color,G,F,Yes,feet,6.0,relevant
158,predict,predict,,False,color,feet,G,F,No,feet,0.0,irrelevant
81,predict,predict,,False,feet,color,Y,C,Yes,feet,6.0,relevant
116,predict,predict,,False,color,feet,Y,F,Yes,feet,3.0,irrelevant
131,predict,predict,,False,feet,color,Y,F,Yes,feet,6.0,relevant
94,predict,predict,,False,color,feet,G,C,Yes,feet,2.0,irrelevant
97,predict,predict,,False,feet,color,Y,C,No,feet,0.0,relevant
82,predict,predict,,False,color,feet,G,C,No,feet,0.0,irrelevant
187,predict,predict,,False,feet,color,Y,F,No,feet,0.0,relevant
220,predict,predict,,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
208,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
112,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
52,predict,predict,,False,color,feet,Y,C,Yes,feet,-2.0,irrelevant
147,predict,predict,,False,feet,color,Y,F,Yes,feet,6.0,relevant
9,predict,predict,,False,feet,color,Y,C,Yes,feet,7.0,relevant
204,predict,predict,,False,color,feet,Y,C,No,feet,0.0,irrelevant
120,predict,predict,,False,color,feet,Y,F,No,feet,0.0,irrelevant
183,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,5.0,irrelevant
75,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,color,3.0,irrelevant
100,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,color,7.0,relevant
61,accommodate,accommodate_none,none,False,feet,color,Y,C,No,color,-5.0,irrelevant
97,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,3.0,irrelevant
184,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,6.0,relevant
180,accommodate,accommodate_causal,feet,True,color,feet,Y,F,Yes,color,6.0,relevant
90,accommodate,accommodate_causal,color,True,color,feet,G,F,Yes,color,6.0,relevant
144,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,color,7.0,relevant
220,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,6.0,relevant
3,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,-2.0,irrelevant
80,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,7.0,relevant
66,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,7.0,relevant
57,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,6.0,irrelevant
33,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,-5.0,irrelevant
84,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,7.0,relevant
53,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,3.0,irrelevant
71,accommodate,accommodate_causal,color,True,feet,color,Y,F,Yes,color,0.0,irrelevant
74,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
30,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,0.0,relevant
105,accommodate,accommodate_causal,color,True,feet,color,Y,C,No,color,0.0,irrelevant
35,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,7.0,irrelevant
51,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,color,0.0,irrelevant
116,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,5.0,relevant
136,accommodate,accommodate_causal,both,True,color,feet,Y,F,Yes,color,7.0,relevant
60,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,5.0,relevant
12,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,5.0,relevant
209,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,0.0,irrelevant
117,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,0.0,irrelevant
113,accommodate,accommodate_causal,feet,True,feet,color,Y,C,Yes,color,-3.0,irrelevant
133,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,color,0.0,irrelevant
148,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,4.0,relevant
151,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,2.0,irrelevant
115,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,-4.0,irrelevant
112,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,7.0,relevant
208,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,5.0,relevant
50,accommodate,accommodate_causal,color,True,color,feet,G,C,No,color,6.0,relevant
201,accommodate,accommodate_none,none,False,feet,color,Y,C,No,color,-4.0,irrelevant
18,accommodate,accommodate_causal,color,True,color,feet,G,F,No,color,5.0,relevant
126,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,0.0,relevant
23,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,color,7.0,irrelevant
206,accommodate,accommodate_causal,color,True,color,feet,G,F,No,color,0.0,relevant
123,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,color,0.0,irrelevant
6,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,6.0,relevant
159,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,color,5.0,irrelevant
196,accommodate,accommodate_causal,both,True,color,feet,Y,C,Yes,color,5.0,relevant
64,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,7.0,relevant
170,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,0.0,relevant
42,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,0.0,relevant
79,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,color,0.0,irrelevant
160,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,-5.0,relevant
157,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,0.0,irrelevant
211,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,0.0,irrelevant
147,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,color,-7.0,irrelevant
124,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,7.0,relevant
165,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,-4.0,irrelevant
67,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,-3.0,irrelevant
203,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,6.0,irrelevant
91,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,color,5.0,irrelevant
25,accommodate,accommodate_causal,color,True,feet,color,G,C,Yes,color,0.0,irrelevant
101,accommodate,accommodate_causal,color,True,feet,color,G,C,No,color,6.0,irrelevant
10,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,5.0,relevant
128,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,-5.0,relevant
109,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,0.0,irrelevant
40,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,3.0,relevant
102,accommodate,accommodate_causal,none,True,color,feet,G,F,Yes,color,6.0,relevant
45,accommodate,accommodate_causal,both,True,feet,color,G,C,Yes,color,5.0,irrelevant
182,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,6.0,relevant
175,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,6.0,irrelevant
77,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,3.0,irrelevant
72,accommodate,accommodate_causal,feet,True,color,feet,Y,C,No,color,6.0,relevant
85,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,-3.0,irrelevant
176,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,5.0,relevant
163,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,5.0,irrelevant
212,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,5.0,relevant
68,accommodate,accommodate_causal,none,True,color,feet,Y,F,No,color,5.0,relevant
186,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
28,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,-5.0,relevant
122,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,5.0,relevant
110,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,7.0,relevant
171,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,0.0,irrelevant
172,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,5.0,relevant
78,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,0.0,relevant
17,accommodate,accommodate_causal,none,True,feet,color,G,C,No,color,0.0,irrelevant
52,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,6.0,relevant
24,accommodate,accommodate_causal,none,True,color,feet,Y,C,No,color,0.0,relevant
16,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,7.0,relevant
187,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,color,0.0,irrelevant
114,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,0.0,relevant
219,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,color,-3.0,irrelevant
145,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,3.0,irrelevant
210,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
88,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,5.0,relevant
96,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,3.0,relevant
108,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,7.0,relevant
65,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,color,0.0,irrelevant
153,accommodate,accommodate_none,none,False,feet,color,G,C,No,color,0.0,irrelevant
36,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,0.0,relevant
29,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,-6.0,irrelevant
14,accommodate,accommodate_causal,color,True,color,feet,G,C,No,color,2.0,relevant
95,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,color,0.0,irrelevant
69,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,0.0,irrelevant
93,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,0.0,irrelevant
94,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,color,5.0,relevant
9,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,5.0,irrelevant
22,accommodate,accommodate_causal,color,True,color,feet,G,F,Yes,color,7.0,relevant
62,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,color,0.0,relevant
46,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,0.0,relevant
132,accommodate,accommodate_causal,feet,True,color,feet,Y,C,Yes,color,6.0,relevant
215,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,-2.0,irrelevant
131,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,color,6.0,irrelevant
89,accommodate,accommodate_causal,feet,True,feet,color,G,C,Yes,color,0.0,irrelevant
173,accommodate,accommodate_causal,color,True,feet,color,G,C,No,color,6.0,irrelevant
87,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,color,4.0,irrelevant
127,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,4.0,irrelevant
156,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,6.0,relevant
111,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,0.0,irrelevant
149,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,color,0.0,irrelevant
83,accommodate,accommodate_causal,feet,True,feet,color,G,F,Yes,color,5.0,irrelevant
142,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,color,7.0,relevant
134,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,5.0,relevant
73,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,6.0,irrelevant
1,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,3.0,irrelevant
174,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,6.0,relevant
47,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,4.0,irrelevant
179,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,2.0,irrelevant
54,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,color,3.0,relevant
167,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,0.0,irrelevant
27,accommodate,accommodate_causal,none,True,feet,color,G,F,No,color,-5.0,irrelevant
92,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,color,0.0,relevant
169,accommodate,accommodate_causal,none,True,feet,color,G,C,Yes,color,0.0,irrelevant
59,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,0.0,irrelevant
20,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,5.0,relevant
205,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,-7.0,irrelevant
164,accommodate,accommodate_none,none,False,color,feet,Y,C,No,color,4.0,relevant
141,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,color,7.0,irrelevant
106,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,color,5.0,relevant
190,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,6.0,relevant
155,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,0.0,irrelevant
135,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,-5.0,irrelevant
181,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,0.0,irrelevant
103,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,5.0,irrelevant
8,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,3.0,relevant
143,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,color,6.0,irrelevant
207,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,4.0,irrelevant
13,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,6.0,irrelevant
125,accommodate,accommodate_none,none,False,feet,color,G,C,No,color,-3.0,irrelevant
200,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,7.0,relevant
34,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,color,7.0,relevant
21,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,6.0,irrelevant
26,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,7.0,relevant
150,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,6.0,relevant
119,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,6.0,irrelevant
56,accommodate,accommodate_causal,both,True,color,feet,Y,F,Yes,color,5.0,relevant
82,accommodate,accommodate_causal,none,True,color,feet,G,C,No,color,7.0,relevant
121,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,color,5.0,irrelevant
11,accommodate,accommodate_causal,none,True,feet,color,G,F,No,color,0.0,irrelevant
137,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,6.0,irrelevant
58,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,4.0,relevant
178,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,7.0,relevant
177,accommodate,accommodate_none,none,False,feet,color,Y,C,No,color,-6.0,irrelevant
139,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,0.0,irrelevant
81,accommodate,accommodate_causal,none,True,feet,color,Y,C,Yes,color,0.0,irrelevant
48,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,6.0,relevant
31,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,-4.0,irrelevant
2,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
49,accommodate,accommodate_causal,color,True,feet,color,Y,C,No,color,5.0,irrelevant
197,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,0.0,irrelevant
55,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,5.0,irrelevant
193,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,5.0,irrelevant
195,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,5.0,irrelevant
32,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,3.0,relevant
198,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,5.0,relevant
86,accommodate,accommodate_causal,color,True,color,feet,G,C,No,color,5.0,relevant
166,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,color,6.0,relevant
7,accommodate,accommodate_causal,both,True,feet,color,G,F,Yes,color,2.0,irrelevant
15,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,color,0.0,irrelevant
99,accommodate,accommodate_none,none,False,feet,color,Y,F,No,color,5.0,irrelevant
192,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,5.0,relevant
202,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,color,0.0,relevant
194,accommodate,accommodate_causal,both,True,color,feet,G,F,Yes,color,7.0,relevant
152,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,6.0,relevant
118,accommodate,accommodate_none,none,False,color,feet,G,C,Yes,color,4.0,relevant
70,accommodate,accommodate_causal,none,True,color,feet,G,C,No,color,6.0,relevant
19,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,6.0,irrelevant
218,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,7.0,relevant
76,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,7.0,relevant
162,accommodate,accommodate_causal,none,True,color,feet,G,F,Yes,color,3.0,relevant
217,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,0.0,irrelevant
140,accommodate,accommodate_causal,color,True,color,feet,Y,C,Yes,color,7.0,relevant
168,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,7.0,relevant
129,accommodate,accommodate_causal,none,True,feet,color,Y,C,Yes,color,-5.0,irrelevant
130,accommodate,accommodate_none,none,False,color,feet,G,C,No,color,7.0,relevant
5,accommodate,accommodate_causal,both,True,feet,color,Y,C,No,color,0.0,irrelevant
158,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
191,accommodate,accommodate_causal,feet,True,feet,color,G,F,Yes,color,3.0,irrelevant
44,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,color,-5.0,relevant
43,accommodate,accommodate_causal,color,True,feet,color,G,F,No,color,0.0,irrelevant
107,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,6.0,irrelevant
189,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,4.0,irrelevant
98,accommodate,accommodate_causal,both,True,color,feet,G,C,Yes,color,7.0,relevant
185,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,color,0.0,irrelevant
37,accommodate,accommodate_causal,both,True,feet,color,G,C,Yes,color,0.0,irrelevant
213,accommodate,accommodate_none,none,False,feet,color,G,C,No,color,0.0,irrelevant
138,accommodate,accommodate_causal,color,True,color,feet,G,F,No,color,6.0,relevant
120,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,5.0,relevant
4,accommodate,accommodate_none,none,False,color,feet,Y,F,No,color,6.0,relevant
154,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,6.0,relevant
63,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,color,5.0,irrelevant
199,accommodate,accommodate_none,none,False,feet,color,G,F,No,color,0.0,irrelevant
216,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,color,6.0,relevant
38,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,color,5.0,relevant
214,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,5.0,relevant
146,accommodate,accommodate_none,none,False,color,feet,G,F,No,color,3.0,relevant
188,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,7.0,relevant
104,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,color,6.0,relevant
204,accommodate,accommodate_causal,both,True,color,feet,Y,C,No,color,7.0,relevant
197,predict,predict,,False,feet,color,G,C,No,color,0.0,irrelevant
170,predict,predict,,False,color,feet,G,F,No,color,3.0,relevant
75,predict,predict,,False,feet,color,Y,F,Yes,color,0.0,irrelevant
8,predict,predict,,False,color,feet,Y,F,No,color,0.0,relevant
34,predict,predict,,False,color,feet,G,C,Yes,color,6.0,relevant
38,predict,predict,,False,color,feet,G,F,No,color,7.0,relevant
196,predict,predict,,False,color,feet,Y,C,No,color,0.0,relevant
79,predict,predict,,False,feet,color,Y,F,No,color,2.0,irrelevant
28,predict,predict,,False,color,feet,Y,C,Yes,color,0.0,relevant
23,predict,predict,,False,feet,color,Y,F,Yes,color,0.0,irrelevant
72,predict,predict,,False,color,feet,Y,C,Yes,color,6.0,relevant
130,predict,predict,,False,color,feet,G,C,Yes,color,7.0,relevant
127,predict,predict,,False,feet,color,Y,F,Yes,color,6.0,irrelevant
92,predict,predict,,False,color,feet,Y,F,No,color,6.0,relevant
176,predict,predict,,False,color,feet,Y,C,No,color,0.0,relevant
119,predict,predict,,False,feet,color,G,F,Yes,color,-3.0,irrelevant
22,predict,predict,,False,color,feet,G,F,Yes,color,6.0,relevant
125,predict,predict,,False,feet,color,G,C,Yes,color,0.0,irrelevant
16,predict,predict,,False,color,feet,Y,C,No,color,6.0,relevant
199,predict,predict,,False,feet,color,G,F,No,color,5.0,irrelevant
37,predict,predict,,False,feet,color,G,C,Yes,color,0.0,irrelevant
67,predict,predict,,False,feet,color,G,F,Yes,color,0.0,irrelevant
90,predict,predict,,False,color,feet,G,F,No,color,6.0,relevant
149,predict,predict,,False,feet,color,Y,C,Yes,color,0.0,irrelevant
180,predict,predict,,False,color,feet,Y,F,No,color,6.0,relevant
109,predict,predict,,False,feet,color,G,C,No,color,0.0,irrelevant
216,predict,predict,,False,color,feet,Y,C,No,color,5.0,relevant
110,predict,predict,,False,color,feet,G,F,No,color,0.0,relevant
121,predict,predict,,False,feet,color,Y,C,No,color,5.0,irrelevant
152,predict,predict,,False,color,feet,Y,C,No,color,6.0,relevant
190,predict,predict,,False,color,feet,G,C,No,color,6.0,relevant
46,predict,predict,,False,color,feet,G,C,Yes,color,6.0,relevant
124,predict,predict,,False,color,feet,Y,F,No,color,0.0,relevant
113,predict,predict,,False,feet,color,Y,C,No,color,0.0,irrelevant
142,predict,predict,,False,color,feet,G,F,Yes,color,7.0,relevant
189,predict,predict,,False,feet,color,G,C,No,color,5.0,irrelevant
55,predict,predict,,False,feet,color,G,F,Yes,color,0.0,irrelevant
93,predict,predict,,False,feet,color,Y,C,No,color,5.0,irrelevant
200,predict,predict,,False,color,feet,Y,C,Yes,color,5.0,relevant
178,predict,predict,,False,color,feet,G,F,No,color,7.0,relevant
30,predict,predict,,False,color,feet,G,C,No,color,7.0,relevant
181,predict,predict,,False,feet,color,G,C,No,color,5.0,irrelevant
118,predict,predict,,False,color,feet,G,C,No,color,7.0,relevant
