StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q8,pspot_1,rspot_1,fspot,fspotnone,pdirection_1,rdirection_1,fdirection,fdirectionnone,pcolor_1,rcolor_1,fcolor,fcolornone,pclaw_1,rclaw_1,fclaw,fclawnone,ptail_1,rtail_1,ftail,ftailnone,pthick_1,rthick_1,fthick,fthicknone,pbelly_1,rbelly_1,fbelly,fbellynone,pspotamount_1,rspotamount_1,fspotamount,fspotamountnone,pridge_1,rridge_1,fridge,fridgenone,pear_1,rear_1,fear,fearnone,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
2026-04-20 06:31:32,2026-04-20 06:48:04,IP Address,*******,100,991,True,2026-04-20 06:48:05,R_6YMstxJJQtvhijT,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69b809a52185379c07d4686a,68,68,"I think it has to be that bodies change when animals are pregnant and the larger spots can show that change. That's the only reason I can think of. ",,50,50,"Stripes are the same in that they are coincidental to the species, rather than related to fertility. ",,51,51,"The color is definitely varied based on species. It has nothing to do related to fertility. ",,69,33,"I think roundness is similar to a body changing in prengnancy, but that is just inference. Actual results may vary.",,17,51,,I can't think of any,51,,,I can't think of any,51,51,,I can't think of any,51,49,"All of these can be species related, not fertility rated. ",,51,52,"I do not think placement matters as it can be coincidental. ",,50,49,,I can't think of any,complete,,69b809a52185379c07d4686a
2026-04-20 06:34:21,2026-04-20 06:48:05,IP Address,*******,100,824,True,2026-04-20 06:48:05,R_3HN9BheMf0zYD1s,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",609f528fba531c5195b6cd4e,70,70,"Large spots might indicate that the frog is currently fertile. It might deal with the season and the fertility of the frog.  ",,60,40,"Stripes might shift in a frog whenever it is either less or more fertile. This shift occurs whenever hormones change and the frog is more fertile. ",,73,71,A frog who is fertile might differ in colors because of the hormone in the body. Those more fertile might be a different color than those who are not.,,75,30,"Hormones that cause fertility might affect the frog's feet shape. ",,55,57,"The frog's tail might be straight or curly during shifts in hormones. Higher fertility might cause the tail to curl because of the hormone shift. ",,70,30,Stripes might indicate frog who are currently fertile. This is a sign for frogs to mate with each other whenever the stripes are larger .,,34,50,"Location might be related to either estrogen or testosterone levels in the frog. The spots might navigate to one location if the frog has high estrogen or testosterone levels, indicating better fertility, or might nativigate to the other location if the frog has low estrogen or testerone indicating worse fertility.",,80,85,"Spots on the front might show up whenever the frog is ready to mate with another. The spots show indicating the wrog is fertile. ",,11,45,,I can't think of any,23,50,"If it did affect fertility it would be related to hormones in the frog. The hormones might have caused the frog's ear to upward or downward. ",,complete,,609f528fba531c5195b6cd4e
2026-04-20 06:34:10,2026-04-20 06:48:17,IP Address,*******,100,846,True,2026-04-20 06:48:17,R_7RsLcnPO0UvvRYZ,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69d1745312a2f9a9c393a510,50,50,"Some creatures show signs of sexual maturity by their coloring.  Only if the spots were changable, i.e. they are not present in young creatures but become prominant as it reaches sexual maturity.",,50,50,"Maybe stripes are on healthy reptiles and they are not on unhealthy ones.  That would affect fertility.  If they are just a characteristic of it then, no.  ",,50,50,"Only if this is the same species.  Like the spots some creatures change color to signal it is mating time.  ",,10,50,"It would not.  The feet are very far from the sexual characteristics.  It could just be a variation.  ",,50,75,"Only if the curly tail beckons a mate like a ""come here"" kind of thing.  ",,5,50,"The only difference I could come up with is the brightness of the stripes.  Maybe a fertile female would have brighter stripes.  But stripes in general, I think it is just a characteristic of the creature.  ",,30,50,"I dn't think it would unless the spots appear or disappear depending on mating season.  ",,50,50,"If the spots are permanent, no.  If they appear after the creature matures, yes.  Or if they appear at mating time and fade after, also yes.  ",,50,50,,I can't think of any,50,75,"The two reptiles look identical.  Perhaps an upward ear is a sign of some sort of erection in a different part of the creature, signaling to the female.  ",,complete,,69d1745312a2f9a9c393a510
2026-04-20 06:34:14,2026-04-20 06:48:25,IP Address,*******,100,851,True,2026-04-20 06:48:25,R_5HhlJRz1ubxHdDx,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69dffc42b70b8d1714271cf2,60,60,"Im just using my human brain at this point but in human, larger things usually signal more fertility, or it used to anyway. thats why im saying big spots will mean more fertile",,50,50,"In my opinion these arent that different, could be just a small genetic difference",,50,50,Both lizards have colors dont really appear in the nature so Im grading them as evenly fertile,,70,78,"the curved feet look like it might handle desert terrain better, making it a better mate for females but overall fertility is questionable",,70,75,"The one with the curly tail just looks like it has more going on, so id lean towards that one being more fertile",,50,50,"I think either lizard could be more fertile than the other. I dont feel like stripe size has anything to with it, but i could be wrong",I can't think of any,80,50,"Just using critical thinking skills here, but the spots send visual data to other animals in the wild. The spots on its back could make it more noticeable to predators which would possibly cause less mating. I dont know if thats the same thing as fertility in this context. but the area for which the spots appear could also signal the inner workings of the lizard.",,80,50,Lizard 2 has more spots now which could signal the fertility of the lizard,,50,100,"upper back ridges stand out more, it just seems like it has more energy",,60,67,"same answer as the last one, the upwards ear just seems like theres more energy there",,complete,,69dffc42b70b8d1714271cf2
2026-04-20 06:40:04,2026-04-20 06:49:01,IP Address,*******,100,537,True,2026-04-20 06:49:02,R_71MmtTET78StpFt,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,"Yes, I consent",6572244f5a6d2b943074aa73,30,50,"Depending on the animal's environment, one size or the other could have a camouflage advantage, which would again, be better for the population to have passed along. ",,65,50,"Again it would likeliest have to do with a camouflage advantage, and if one or the other is better, that would be the trait that would likeliest be passed along.",,50,50,,I can't think of any,64,50,"Depending on environment, one or the other is likely advantageous for the animal, and so would be likelier to be passed along in individuals exhibiting that trait.",,40,50,,I can't think of any,61,51,"If the striping pattern were found to be related to hormonal shifts or activity in the reptile's body, that would influence fertility, potentially.",,60,43,"It's possible the spots themselves, and their location, might play a role in attracting a mate.",,60,60,"The extra spots have potentially some evolutionary advantage, so extra spotting might indicate individuals who are more likely to successfully pass along their genetic code. It could equally work the other way.",,10,50,,I can't think of any,42,50,,I can't think of any,complete,,6572244f5a6d2b943074aa73
2026-04-20 06:31:42,2026-04-20 06:49:28,IP Address,*******,100,1066,True,2026-04-20 06:49:29,R_74w1VJr5FIP4Dv3,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69dfc80acfee5e3693080e2e,52,50,,I can't think of any,49,50,,I can't think of any,68,23,"the purple could be a blend between red and blue, signifying lots of breeding ",,62,63,"could be more adept at operating in different environments ",,70,20,"Umm, maybe because it could provide a slightly different environment for eggs to be? Haha, I don't know. ",,51,4,"Maybe the thicker stripes could help with camouflaging from predators, which could be evolutionary advancement that could develop with higher fertility   ",,55,51,,I can't think of any,70,49,,I can't think of any,74,71,"Maybe something to do with a mating positioning? ",,50,80,"having the down turned ears could be more protective ",,complete,,69dfc80acfee5e3693080e2e
2026-04-20 06:32:32,2026-04-20 06:49:53,IP Address,*******,100,1041,True,2026-04-20 06:49:53,R_75Y5loXPRfhCoqB,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",69b3098e9a1437f8d6bbf200,11,50,,I can't think of any,19,49,,I can't think of any,62,0,"i would think purple would make the mate more appealing to one seeking a mate because of the color purple not being a everyday color in the wild ",,1,50,,I can't think of any,4,50,,I can't think of any,53,93,i would think thin more stripes would make them more attractive to the one searching out a mate,,44,0,i think the spots on the back would be easier for a potential mate to spot during mating season,,80,9,for me I would assume the spots would be used to attract a mate which in turn would make that reptile  produce more offspring,,73,89,"i would think having spikes on the upper back would be easier for a mate to see from a distance making mating easier ",,69,97,"with the ears up i would think it would make the mate more visible and seem stronger to the mate making matting more achievable ",,complete,,69b3098e9a1437f8d6bbf200
2026-04-20 06:34:26,2026-04-20 06:50:09,IP Address,*******,100,943,True,2026-04-20 06:50:09,R_7cqOVv928RXYYVV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69a6ff98b75d30774fa1930d,30,43,,I can't think of any,8,48,,I can't think of any,32,42,,I can't think of any,45,40,"The rounded feet looks more like a female’s body that’s why more fertile ",,55,35,,I can't think of any,28,51,,I can't think of any,49,30,,I can't think of any,66,64,The more spotty one looks fertile to me,,60,30,The upper one looks more masculine than the other one.,,22,48,,I can't think of any,complete,,69a6ff98b75d30774fa1930d
2026-04-20 06:33:36,2026-04-20 06:52:06,IP Address,*******,100,1110,True,2026-04-20 06:52:06,R_1hfWeHYhW8fPImR,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",697cce3dbfe2e9b4d591e05c,0,50,Same as my other 2 answers. Markings seem innocent enough and just opportunity may be affected.,,0,50,Same as other skin answers.,,70,50,"This is also similar to the feet issue. If the species is supposed to be one color and is not, it COULD be some innocent variation in the species, or it could point to a genetic defect that affects fertility. Testing would need to be done. As I answer these, it occurs that this will likely be applied to people in some way and their difference, but obviously people are different than animals and I will continue to respond in a very logical and scientific way as if it was a lizard.",,70,50,"This could be a genetic defect. Thus far all the feet have been curved. So, if the non-curved feet represent a genetic defect, it is entirely plausible that it has affected more than just the feet.",,50,60,"Perhaps a flat tail indicates a lack of excitement and energy and is a state of diminished health whereas the curly tail indicates vitality. If that were the case, it would likely affect virility and hence fertility.",,0,50,"I don't think it would, however, it may affect opportunity for fertility. If it is normal for thick lines and that is what the species is biologically made to recognize as a good mate, the thin lined lizard may still be equally fertile but have less opportunity to mate.",,0,50,"Again, just skin differences.",,0,50,"This answer would be similar to the skin stripes. It may affect opportunity, but I can't see a reason it would affect fertility.",,60,50,"Same as the other physical difference. If they stem from a genetic deviation from the species, it could also affect fertility, or it may not. ",,60,50,Same as the tail answer. May be a genetic issue and may indicate health and energy levels.,,complete,,697cce3dbfe2e9b4d591e05c
2026-04-20 06:34:21,2026-04-20 06:52:22,IP Address,*******,100,1081,True,2026-04-20 06:52:23,R_3Zp5Y4jbeoXKwIF,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,"Yes, I consent",69c065293aff7b572cae5252,31,14,,I can't think of any,52,51,,I can't think of any,51,51,maybe color indicates a genetic composition that leads to more fertility,,22,50,maybe the one with rounded feet is younger than the other,,54,86,maybe as the reptile gets older it gets a curly tail,,50,50,,I can't think of any,57,58,Maybe they have a genetic disorder that can cause less fertility,,31,77,maybe the one with spots allover is a mature one,,48,49,maybe the ones on ridges below are mature,,17,17,maybe the genetics can apply,,complete,,69c065293aff7b572cae5252
2026-04-20 06:48:01,2026-04-20 06:53:12,IP Address,*******,100,310,True,2026-04-20 06:53:12,R_6dQvIBBB6oKNgUo,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",697c9de865873cf1d14b8be1,11,51,,I can't think of any,8,51,,I can't think of any,11,51,,I can't think of any,13,50,,I can't think of any,21,52,,I can't think of any,9,51,,I can't think of any,14,52,,I can't think of any,10,50,,I can't think of any,10,51,,I can't think of any,30,50,,I can't think of any,complete,,697c9de865873cf1d14b8be1
2026-04-20 06:41:50,2026-04-20 06:53:40,IP Address,*******,100,709,True,2026-04-20 06:53:40,R_6rVLtdbY31N4PJe,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69c058878cf06a39b7e34b0a,11,50,,I can't think of any,4,50,,I can't think of any,10,49,,I can't think of any,71,15,the surroundings / shape might influence the cell growth,,72,73,the cell growth might affect fertility,,10,50,,I can't think of any,9,10,that is the natural way,,11,80,,I can't think of any,50,68,"they can ""defend"" themselves better",,69,80,that is how they have their ear orientation,,complete,,69c058878cf06a39b7e34b0a
2026-04-20 06:42:12,2026-04-20 06:53:51,IP Address,*******,100,698,True,2026-04-20 06:53:51,R_7EFiAdZZyUur4ke,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69dc36cf3d7d88c4d6cb980f,79,86,It’s probably not the case but the larger spots would seem to mean higher fertility. I really don’t know why the correlation would exist but potentially a signal to the mate and the mate would more easily see the frog?,,60,,"The frog with the ability to blend into their environment survives over generations and can more strategically obtain more nutritious food. ",,61,100,"Potentially evolutionarily one color is more attractive or easier to see. That could cause the other colors to essentially die off or increase the fertility of the other color. ",,82,100,"The frog with the curved foot shape could be more likely to catch higher volumes of food and more nutritious food leading to increased fertility. ",,50,50,,I can't think of any,52,49,"Depending on the environment one type of stripe may allow the frog to blend into their environment which would allow their type to survive generations. Also they would be able to better obtain food if they can blend into their environment. ",,60,0,"I would posit that it has to do with the ability of the type of frog to survive. Spots on the back may allow the frog to blend in and survive, leading to natural selection. ",,50,50,,I can't think of any,59,52,,I can't think of any,52,53,,I can't think of any,complete,,69dc36cf3d7d88c4d6cb980f
2026-04-20 06:34:47,2026-04-20 06:55:41,IP Address,*******,100,1253,True,2026-04-20 06:55:41,R_7ruIOpksWZqQ7wo,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69e14dcb8731e5cddff8fe63,3,50,,I can't think of any,29,51,,I can't think of any,4,50,,I can't think of any,51,50,,I can't think of any,3,50,,I can't think of any,1,50,,I can't think of any,8,49,,I can't think of any,2,50,,I can't think of any,50,50,,I can't think of any,7,49,,I can't think of any,complete,,69e14dcb8731e5cddff8fe63
2026-04-20 06:54:26,2026-04-20 06:59:42,IP Address,*******,100,315,True,2026-04-20 06:59:42,R_5LFldLh41jiGtDK,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",66bf66ddeb466531b167c449,51,51,"I can't think of fertility alone for these traits ",,49,49,"My answer is the same, I'm not sure if fertility reason plays a part, but I'm sure it has something to do with something ",,58,51,"Again, darwinism, what traits are preferred ",,54,55,,I can't think of any,52,52,"Plausible as to what traits is more desirable ",,53,53,,I can't think of any,53,55,,I can't think of any,53,52,,I can't think of any,57,75,"Whatever traits are more attractive ",,74,76,"Darwin, certain features are more attractive ",,complete,,66bf66ddeb466531b167c449
2026-04-20 07:07:54,2026-04-20 07:13:34,IP Address,*******,100,339,True,2026-04-20 07:13:34,R_6uCCrI5fAqtwpFw,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",611722f2f782899ff22ed1ed,0,97,Larger spots could increase visibility of the reptile to attract a mate.,,7,50,,I can't think of any,72,51,"If one color is more visible or vibrant to other reptiles, it could make those reptiles more fertile.",,5,88,Foot shape that makes it easier for the reptile to hold on to surfaces and survive could be related to higher fertility.,,11,99,Curly tail seems more distinctive/could attract a mate.,,19,4,Thicker stripes could increase the reptile's visibility to other reptiles and could make it easier for them to attract a mate.,,71,4,Spots on back could be more visible to other reptiles and make it easier for them to attract a mate.,,21,92,More spots make the reptile more visible to others and could make it easier for them to attract a mate.,,10,52,,I can't think of any,20,97,The upwards ear increases the reptile's visibility to others and could make it easier for them to attract a mate.,,complete,,611722f2f782899ff22ed1ed
