participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant,wing_response
345,predict,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
346,predict,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
347,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
348,predict,tail,wing,color,1,Y,C,Yes,wing,3.0,relevant,1,1
349,predict,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
350,predict,tail,wing,color,1,B,C,No,wing,0.0,relevant,1,0
351,predict,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1,1
352,predict,tail,color,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
353,predict,color,tail,wing,1,B,S,Yes,wing,2.0,irrelevant,0,1
354,predict,color,wing,tail,0,Y,S,Yes,wing,-5.0,relevant,1,1
355,predict,wing,tail,color,1,B,C,Yes,wing,3.0,relevant,1,1
356,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
357,predict,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1,1
358,predict,color,tail,wing,1,B,S,Yes,wing,-7.0,irrelevant,0,1
359,predict,color,tail,wing,1,B,S,Yes,wing,-2.0,irrelevant,0,1
360,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
361,predict,color,tail,wing,0,B,S,Yes,wing,-2.0,irrelevant,0,1
362,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
363,predict,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
364,predict,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0,1
365,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
366,predict,color,tail,wing,1,B,S,Yes,wing,7.0,irrelevant,0,1
367,predict,color,tail,wing,0,B,S,Yes,wing,-5.0,irrelevant,0,1
368,predict,wing,tail,color,1,Y,C,No,wing,0.0,relevant,1,0
369,predict,wing,color,tail,0,Y,S,Yes,wing,-6.0,relevant,1,1
370,predict,tail,wing,color,1,Y,C,Yes,wing,3.0,relevant,1,1
371,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
372,predict,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
373,predict,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1,1
374,predict,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0,1
375,predict,tail,color,wing,0,B,S,Yes,wing,-5.0,irrelevant,0,1
376,predict,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1,1
377,predict,color,wing,tail,0,Y,C,Yes,wing,-3.0,relevant,1,1
378,predict,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
379,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
380,predict,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1,1
381,predict,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
382,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
383,predict,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1,1
384,predict,color,wing,tail,0,Y,S,Yes,wing,-4.0,relevant,1,1
385,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
386,predict,wing,color,tail,0,Y,S,Yes,wing,3.0,relevant,1,1
387,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
388,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
389,predict,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0,1
390,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
391,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
392,predict,color,wing,tail,0,Y,S,Yes,wing,3.0,relevant,1,1
393,predict,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
394,predict,color,wing,tail,0,Y,C,Yes,wing,4.0,relevant,1,1
395,predict,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
396,predict,color,wing,tail,0,Y,C,Yes,wing,-2.0,relevant,1,1
397,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
398,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
399,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
400,predict,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1,1
401,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
402,predict,color,tail,wing,0,B,S,Yes,wing,-5.0,irrelevant,0,1
403,predict,color,tail,wing,1,B,S,Yes,wing,1.0,irrelevant,0,1
404,predict,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
405,predict,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1,0
406,predict,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0,1
407,predict,wing,color,tail,0,Y,C,Yes,wing,2.0,relevant,1,1
408,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
409,predict,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
410,predict,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
411,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
412,predict,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1,1
413,predict,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1,0
414,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
415,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
416,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
417,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
418,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
