participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant
363,predict,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1
364,predict,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
365,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
366,predict,color,tail,wing,1,B,S,Yes,wing,7.0,irrelevant,0
367,predict,color,tail,wing,0,B,S,Yes,wing,-5.0,irrelevant,0
368,predict,wing,tail,color,1,Y,C,No,wing,0.0,relevant,1
369,predict,wing,color,tail,0,Y,S,Yes,wing,-6.0,relevant,1
370,predict,tail,wing,color,1,Y,C,Yes,wing,3.0,relevant,1
371,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
372,predict,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
373,predict,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
374,predict,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0
375,predict,tail,color,wing,0,B,S,Yes,wing,-5.0,irrelevant,0
376,predict,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1
377,predict,color,wing,tail,0,Y,C,Yes,wing,-3.0,relevant,1
378,predict,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1
379,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
380,predict,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1
381,predict,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
382,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
383,predict,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
384,predict,color,wing,tail,0,Y,S,Yes,wing,-4.0,relevant,1
385,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
386,predict,wing,color,tail,0,Y,S,Yes,wing,3.0,relevant,1
387,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0
388,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
389,predict,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0
390,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
391,predict,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0
392,predict,color,wing,tail,0,Y,S,Yes,wing,3.0,relevant,1
393,predict,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
394,predict,color,wing,tail,0,Y,C,Yes,wing,4.0,relevant,1
395,predict,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0
396,predict,color,wing,tail,0,Y,C,Yes,wing,-2.0,relevant,1
397,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
398,predict,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0
399,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
400,predict,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
401,predict,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
402,predict,color,tail,wing,0,B,S,Yes,wing,-5.0,irrelevant,0
403,predict,color,tail,wing,1,B,S,Yes,wing,1.0,irrelevant,0
404,predict,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1
405,predict,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1
406,predict,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0
407,predict,wing,color,tail,0,Y,C,Yes,wing,2.0,relevant,1
408,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
409,predict,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
410,predict,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0
411,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
412,predict,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1
413,predict,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1
414,predict,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
415,predict,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
416,predict,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
417,predict,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
418,predict,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
