participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,stimuli_clicks,reference_clicks,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
015,"[5.0, 8.0, 6.0, 6.0, 6.0, 9.0, 9.0, 8.0]","[8.0, 2.0, 7.0, 3.0, 1.0, 5.0, 6.0, 10.0]","[3.0, 6.0, 1.0, 3.0, 5.0, 4.0, 3.0, 2.0]","[""None, I didn't see any other differences.\xa0""]",402.0542,"['W_C', 'W_F', 'E_F', 'E_C']","[5.0, 5.0, 7.0, 7.0]","['high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'E', 'W', 'W', 'W', 'E', 'W', 'E']","['low', 'high', 'high', 'low']",15,"['E_F', 'E_C', 'W_F', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,7.0,7.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,W,E,C,No,,,Yes,Up/Left,6.0
035,"[5.0, 5.0, 6.0, 5.0, 8.0, 9.0, 9.0, 5.0]","[5.0, 6.0, 5.0, 10.0, 9.0, 3.0, 5.0, 9.0]","[0.0, 1.0, 1.0, 5.0, 1.0, 6.0, 4.0, 4.0]","['I think what I noticed the most were the main differences between webbed feet and the stripes. I did not recognize any other super different details. I thought maybe the green was a different shade at first, but i believe i was wrong.\xa0']",304.133,"['W_C', 'W_F', 'E_F', 'E_C']","[4.0, 10.0, 10.0, 4.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'high', 'high', 'low']",35,"['W_C', 'E_F', 'E_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,4.0,6.0,2.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",feet,stripes,F,E,W,C,Yes,Webbed,7.0,Yes,Up/Left,7.0
003,"[5.0, 5.0, 8.0, 8.0, 6.0, 6.0, 2.0, 6.0]","[6.0, 8.0, 6.0, 8.0, 2.0, 5.0, 5.0, 8.0]","[1.0, 3.0, 2.0, 0.0, 4.0, 1.0, 3.0, 2.0]",[],209.2031,"['E_F', 'W_C', 'W_F', 'E_C']","[5.0, 5.0, 8.0, 6.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",3,"['W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_F', 'E_C', 'W_F']",1,4.0,1.0,2.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",feet,stripes,F,W,E,C,Yes,Webbed,2.0,Yes,Up/Left,3.0
022,"[7.0, 8.0, 6.0, 5.0, 4.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 2.0, 6.0, 5.0, 1.0, 8.0, 5.0]","[4.0, 4.0, 4.0, 1.0, 1.0, 3.0, 4.0, 1.0]",['The only one I noticed was the stripes.'],366.6159,"['E_C', 'W_C', 'W_F', 'E_F']","[7.0, 5.0, 4.0, 3.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'high', 'high', 'low']",22,"['E_F', 'W_C', 'E_C', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F']",1,5.0,6.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,No,,,No,,
025,"[6.0, 9.0, 7.0, 5.0, 3.0, 7.0, 5.0, 2.0]","[7.0, 2.0, 3.0, 6.0, 4.0, 2.0, 10.0, 3.0]","[1.0, 7.0, 4.0, 1.0, 1.0, 5.0, 5.0, 1.0]",['at first i thought the stripes of the lizard ment something with fertility but it was not the case. later on i noticed the feet shape mattered more.\xa0'],233.513,"['E_F', 'W_F', 'E_C', 'W_C']","[6.0, 2.0, 10.0, 4.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['low', 'low', 'high', 'high']",25,"['W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'E_F', 'W_C', 'W_F']",1,5.0,4.0,6.0,"[2.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0]",feet,stripes,C,E,W,F,No,,,No,,
037,"[6.0, 7.0, 2.0, 6.0, 6.0, 5.0, 9.0, 9.0]","[1.0, 6.0, 9.0, 5.0, 5.0, 8.0, 9.0, 2.0]","[5.0, 1.0, 7.0, 1.0, 1.0, 3.0, 0.0, 7.0]",[],259.5137,"['W_C', 'E_F', 'W_F', 'E_C']","[6.0, 3.0, 5.0, 7.0]","['low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",37,"['E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,7.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,No,,,Yes,Up/Left,5.0
004,"[7.0, 4.0, 8.0, 6.0, 7.0, 7.0, 5.0, 7.0]","[5.0, 7.0, 2.0, 6.0, 2.0, 3.0, 9.0, 8.0]","[2.0, 3.0, 6.0, 0.0, 5.0, 4.0, 4.0, 1.0]","['i saw the difference in feet but i completely missed the stripes, so i predicted it the best i could']",286.2339,"['E_C', 'E_F', 'W_C', 'W_F']","[8.0, 7.0, 4.0, 6.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",4,"['W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C']",1,3.0,3.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",stripes,feet,F,W,E,C,Yes,Webbed,5.0,No,,
029,"[6.0, 8.0, 9.0, 5.0, 5.0, 4.0, 5.0, 7.0]","[9.0, 9.0, 5.0, 5.0, 4.0, 1.0, 8.0, 8.0]","[3.0, 1.0, 4.0, 0.0, 1.0, 3.0, 3.0, 1.0]",['I did not notice any other differences in their features.'],346.6563,"['E_C', 'W_F', 'W_C', 'E_F']","[4.0, 9.0, 7.0, 5.0]","['high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'F', 'F', 'C', 'C']","['W', 'E', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'high', 'low']",29,"['W_C', 'E_C', 'E_F', 'W_F', 'W_F', 'E_F', 'W_C', 'E_C']",0,6.0,5.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,Yes,Up/Left,6.0
028,"[6.0, 9.0, 3.0, 10.0, 9.0, 1.0, 3.0, 7.0]","[1.0, 9.0, 4.0, 7.0, 9.0, 1.0, 4.0, 8.0]","[5.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0]",[],255.787,"['W_F', 'E_F', 'E_C', 'W_C']","[1.0, 8.0, 9.0, 4.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'high', 'low']",28,"['W_C', 'E_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,7.0,1.0,6.0,"[2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0]",stripes,feet,C,W,E,F,No,,,Yes, Up/Right,7.0
014,"[8.0, 5.0, 10.0, 2.0, 7.0, 6.0, 1.0, 1.0]","[8.0, 2.0, 8.0, 1.0, 5.0, 4.0, 2.0, 6.0]","[0.0, 3.0, 2.0, 1.0, 2.0, 2.0, 1.0, 5.0]",['I did not notice any other differences that mattered for fertility.'],405.632,"['E_F', 'E_C', 'W_C', 'W_F']","[2.0, 6.0, 7.0, 8.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",14,"['W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",0,4.0,5.0,3.0,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,7.0,Yes,Up/Left,5.0
014,"[7.0, 8.0, 6.0, 5.0, 9.0, 2.0, 9.0, 4.0]","[8.0, 2.0, 8.0, 1.0, 5.0, 4.0, 2.0, 6.0]","[1.0, 6.0, 2.0, 4.0, 4.0, 2.0, 7.0, 2.0]",[],325.7335,"['E_F', 'E_C', 'W_C', 'W_F']","[5.0, 2.0, 8.0, 8.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",14,"['W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",0,6.0,4.0,2.0,"[2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes,Webbed,5.0,No,,
033,"[3.0, 3.0, 5.0, 3.0, 3.0, 7.0, 7.0, 5.0]","[3.0, 5.0, 4.0, 7.0, 3.0, 9.0, 8.0, 4.0]","[0.0, 2.0, 1.0, 4.0, 0.0, 2.0, 1.0, 1.0]","[""I thought I saw glints of differing colors on each reptiles nose, but i couldn't be sure""]",180.6381,"['E_C', 'W_F', 'E_F', 'W_C']","[9.0, 3.0, 4.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",33,"['W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,4.0,5.0,3.0,"[2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,Yes, Curved/Pointy,6.0,Yes,Up/Left,4.0
